policy,accounts receivable,accounts payable,documentation,packing,quality check,purchasing,sales,manager
001,0,0,0,0,0,0,0,1
002,0,0,0,0,0,0,1,0
003,0,0,0,0,0,0,1,1
004,0,0,0,0,0,1,0,0
005,0,0,0,0,0,1,0,1
006,0,0,0,0,0,1,1,0
007,0,0,0,0,0,1,1,1
008,0,0,0,0,1,0,0,0
009,0,0,0,0,1,0,0,1
010,0,0,0,0,1,0,1,0
011,0,0,0,0,1,0,1,1
012,0,0,0,0,1,1,0,0
013,0,0,0,0,1,1,0,1
014,0,0,0,0,1,1,1,0
015,0,0,0,0,1,1,1,1
016,0,0,0,1,0,0,0,0
017,0,0,0,1,0,0,0,1
018,0,0,0,1,0,0,1,0
019,0,0,0,1,0,0,1,1
020,0,0,0,1,0,1,0,0
021,0,0,0,1,0,1,0,1
022,0,0,0,1,0,1,1,0
023,0,0,0,1,0,1,1,1
024,0,0,0,1,1,0,0,0
025,0,0,0,1,1,0,0,1
026,0,0,0,1,1,0,1,0
027,0,0,0,1,1,0,1,1
028,0,0,0,1,1,1,0,0
029,0,0,0,1,1,1,0,1
030,0,0,0,1,1,1,1,0
031,0,0,0,1,1,1,1,1
032,0,0,1,0,0,0,0,0
033,0,0,1,0,0,0,0,1
034,0,0,1,0,0,0,1,0
035,0,0,1,0,0,0,1,1
036,0,0,1,0,0,1,0,0
037,0,0,1,0,0,1,0,1
038,0,0,1,0,0,1,1,0
039,0,0,1,0,0,1,1,1
040,0,0,1,0,1,0,0,0
041,0,0,1,0,1,0,0,1
042,0,0,1,0,1,0,1,0
043,0,0,1,0,1,0,1,1
044,0,0,1,0,1,1,0,0
045,0,0,1,0,1,1,0,1
046,0,0,1,0,1,1,1,0
047,0,0,1,0,1,1,1,1
048,0,0,1,1,0,0,0,0
049,0,0,1,1,0,0,0,1
050,0,0,1,1,0,0,1,0
051,0,0,1,1,0,0,1,1
052,0,0,1,1,0,1,0,0
053,0,0,1,1,0,1,0,1
054,0,0,1,1,0,1,1,0
055,0,0,1,1,0,1,1,1
056,0,0,1,1,1,0,0,0
057,0,0,1,1,1,0,0,1
058,0,0,1,1,1,0,1,0
059,0,0,1,1,1,0,1,1
060,0,0,1,1,1,1,0,0
061,0,0,1,1,1,1,0,1
062,0,0,1,1,1,1,1,0
063,0,0,1,1,1,1,1,1
064,0,1,0,0,0,0,0,0
065,0,1,0,0,0,0,0,1
066,0,1,0,0,0,0,1,0
067,0,1,0,0,0,0,1,1
068,0,1,0,0,0,1,0,0
069,0,1,0,0,0,1,0,1
070,0,1,0,0,0,1,1,0
071,0,1,0,0,0,1,1,1
072,0,1,0,0,1,0,0,0
073,0,1,0,0,1,0,0,1
074,0,1,0,0,1,0,1,0
075,0,1,0,0,1,0,1,1
076,0,1,0,0,1,1,0,0
077,0,1,0,0,1,1,0,1
078,0,1,0,0,1,1,1,0
079,0,1,0,0,1,1,1,1
080,0,1,0,1,0,0,0,0
081,0,1,0,1,0,0,0,1
082,0,1,0,1,0,0,1,0
083,0,1,0,1,0,0,1,1
084,0,1,0,1,0,1,0,0
085,0,1,0,1,0,1,0,1
086,0,1,0,1,0,1,1,0
087,0,1,0,1,0,1,1,1
088,0,1,0,1,1,0,0,0
089,0,1,0,1,1,0,0,1
090,0,1,0,1,1,0,1,0
091,0,1,0,1,1,0,1,1
092,0,1,0,1,1,1,0,0
093,0,1,0,1,1,1,0,1
094,0,1,0,1,1,1,1,0
095,0,1,0,1,1,1,1,1
096,0,1,1,0,0,0,0,0
097,0,1,1,0,0,0,0,1
098,0,1,1,0,0,0,1,0
099,0,1,1,0,0,0,1,1
100,0,1,1,0,0,1,0,0
101,0,1,1,0,0,1,0,1
102,0,1,1,0,0,1,1,0
103,0,1,1,0,0,1,1,1
104,0,1,1,0,1,0,0,0
105,0,1,1,0,1,0,0,1
106,0,1,1,0,1,0,1,0
107,0,1,1,0,1,0,1,1
108,0,1,1,0,1,1,0,0
109,0,1,1,0,1,1,0,1
110,0,1,1,0,1,1,1,0
111,0,1,1,0,1,1,1,1
112,0,1,1,1,0,0,0,0
113,0,1,1,1,0,0,0,1
114,0,1,1,1,0,0,1,0
115,0,1,1,1,0,0,1,1
116,0,1,1,1,0,1,0,0
117,0,1,1,1,0,1,0,1
118,0,1,1,1,0,1,1,0
119,0,1,1,1,0,1,1,1
120,0,1,1,1,1,0,0,0
121,0,1,1,1,1,0,0,1
122,0,1,1,1,1,0,1,0
123,0,1,1,1,1,0,1,1
124,0,1,1,1,1,1,0,0
125,0,1,1,1,1,1,0,1
126,0,1,1,1,1,1,1,0
127,0,1,1,1,1,1,1,1
128,1,0,0,0,0,0,0,0
129,1,0,0,0,0,0,0,1
130,1,0,0,0,0,0,1,0
131,1,0,0,0,0,0,1,1
132,1,0,0,0,0,1,0,0
133,1,0,0,0,0,1,0,1
134,1,0,0,0,0,1,1,0
135,1,0,0,0,0,1,1,1
136,1,0,0,0,1,0,0,0
137,1,0,0,0,1,0,0,1
138,1,0,0,0,1,0,1,0
139,1,0,0,0,1,0,1,1
140,1,0,0,0,1,1,0,0
141,1,0,0,0,1,1,0,1
142,1,0,0,0,1,1,1,0
143,1,0,0,0,1,1,1,1
144,1,0,0,1,0,0,0,0
145,1,0,0,1,0,0,0,1
146,1,0,0,1,0,0,1,0
147,1,0,0,1,0,0,1,1
148,1,0,0,1,0,1,0,0
149,1,0,0,1,0,1,0,1
150,1,0,0,1,0,1,1,0
151,1,0,0,1,0,1,1,1
152,1,0,0,1,1,0,0,0
153,1,0,0,1,1,0,0,1
154,1,0,0,1,1,0,1,0
155,1,0,0,1,1,0,1,1
156,1,0,0,1,1,1,0,0
157,1,0,0,1,1,1,0,1
158,1,0,0,1,1,1,1,0
159,1,0,0,1,1,1,1,1
160,1,0,1,0,0,0,0,0
161,1,0,1,0,0,0,0,1
162,1,0,1,0,0,0,1,0
163,1,0,1,0,0,0,1,1
164,1,0,1,0,0,1,0,0
165,1,0,1,0,0,1,0,1
166,1,0,1,0,0,1,1,0
167,1,0,1,0,0,1,1,1
168,1,0,1,0,1,0,0,0
169,1,0,1,0,1,0,0,1
170,1,0,1,0,1,0,1,0
171,1,0,1,0,1,0,1,1
172,1,0,1,0,1,1,0,0
173,1,0,1,0,1,1,0,1
174,1,0,1,0,1,1,1,0
175,1,0,1,0,1,1,1,1
176,1,0,1,1,0,0,0,0
177,1,0,1,1,0,0,0,1
178,1,0,1,1,0,0,1,0
179,1,0,1,1,0,0,1,1
180,1,0,1,1,0,1,0,0
181,1,0,1,1,0,1,0,1
182,1,0,1,1,0,1,1,0
183,1,0,1,1,0,1,1,1
184,1,0,1,1,1,0,0,0
185,1,0,1,1,1,0,0,1
186,1,0,1,1,1,0,1,0
187,1,0,1,1,1,0,1,1
188,1,0,1,1,1,1,0,0
189,1,0,1,1,1,1,0,1
190,1,0,1,1,1,1,1,0
191,1,0,1,1,1,1,1,1
192,1,1,0,0,0,0,0,0
193,1,1,0,0,0,0,0,1
194,1,1,0,0,0,0,1,0
195,1,1,0,0,0,0,1,1
196,1,1,0,0,0,1,0,0
197,1,1,0,0,0,1,0,1
198,1,1,0,0,0,1,1,0
199,1,1,0,0,0,1,1,1
200,1,1,0,0,1,0,0,0
201,1,1,0,0,1,0,0,1
202,1,1,0,0,1,0,1,0
203,1,1,0,0,1,0,1,1
204,1,1,0,0,1,1,0,0
205,1,1,0,0,1,1,0,1
206,1,1,0,0,1,1,1,0
207,1,1,0,0,1,1,1,1
208,1,1,0,1,0,0,0,0
209,1,1,0,1,0,0,0,1
210,1,1,0,1,0,0,1,0
211,1,1,0,1,0,0,1,1
212,1,1,0,1,0,1,0,0
213,1,1,0,1,0,1,0,1
214,1,1,0,1,0,1,1,0
215,1,1,0,1,0,1,1,1
216,1,1,0,1,1,0,0,0
217,1,1,0,1,1,0,0,1
218,1,1,0,1,1,0,1,0
219,1,1,0,1,1,0,1,1
220,1,1,0,1,1,1,0,0
221,1,1,0,1,1,1,0,1
222,1,1,0,1,1,1,1,0
223,1,1,0,1,1,1,1,1
224,1,1,1,0,0,0,0,0
225,1,1,1,0,0,0,0,1
226,1,1,1,0,0,0,1,0
227,1,1,1,0,0,0,1,1
228,1,1,1,0,0,1,0,0
229,1,1,1,0,0,1,0,1
230,1,1,1,0,0,1,1,0
231,1,1,1,0,0,1,1,1
232,1,1,1,0,1,0,0,0
233,1,1,1,0,1,0,0,1
234,1,1,1,0,1,0,1,0
235,1,1,1,0,1,0,1,1
236,1,1,1,0,1,1,0,0
237,1,1,1,0,1,1,0,1
238,1,1,1,0,1,1,1,0
239,1,1,1,0,1,1,1,1
240,1,1,1,1,0,0,0,0
241,1,1,1,1,0,0,0,1
242,1,1,1,1,0,0,1,0
243,1,1,1,1,0,0,1,1
244,1,1,1,1,0,1,0,0
245,1,1,1,1,0,1,0,1
246,1,1,1,1,0,1,1,0
247,1,1,1,1,0,1,1,1
248,1,1,1,1,1,0,0,0
249,1,1,1,1,1,0,0,1
250,1,1,1,1,1,0,1,0
251,1,1,1,1,1,0,1,1
252,1,1,1,1,1,1,0,0
253,1,1,1,1,1,1,0,1
254,1,1,1,1,1,1,1,0
255,1,1,1,1,1,1,1,1
